dataset,model,ablation,accuracy,precision,recall,f1,auc
pima,Logistic Regression,Full_Features,0.7142857142857143,0.5806451612903226,0.6666666666666666,0.6206896551724138,0.8114814814814815
pima,SVM,Full_Features,0.7402597402597403,0.6166666666666667,0.6851851851851852,0.6491228070175439,0.8114814814814815
pima,KNN,Full_Features,0.6948051948051948,0.5507246376811594,0.7037037037037037,0.6178861788617886,0.7737037037037038
pima,Decision Tree,Full_Features,0.6948051948051948,0.5614035087719298,0.5925925925925926,0.5765765765765766,0.6712962962962963
pima,Random Forest,Full_Features,0.7272727272727273,0.6,0.6666666666666666,0.631578947368421,0.8055555555555556
pima,XGBoost,Full_Features,0.7272727272727273,0.603448275862069,0.6481481481481481,0.625,0.8079629629629629
pima,LightGBM,Full_Features,0.7467532467532467,0.631578947368421,0.6666666666666666,0.6486486486486487,0.8131481481481482
pima,Stacked Ensemble (RF+XGB),Full_Features,0.7402597402597403,0.6206896551724138,0.6666666666666666,0.6428571428571429,0.8142592592592592
pima,Attention-ResNet,Full_Features,0.6558441558441559,0.5714285714285714,0.07407407407407407,0.13114754098360656,0.7444444444444445
100k,Logistic Regression,Full_Features,0.8878,0.42359550561797754,0.8870588235294118,0.5733840304182509,0.962503712632594
100k,KNN,Full_Features,0.91405,0.4965366387167335,0.8011764705882353,0.613099257258609,0.9134770331083253
100k,Decision Tree,Full_Features,0.9489,0.6799363057324841,0.7535294117647059,0.71484375,0.8604186113789778
100k,Random Forest,Full_Features,0.9595,0.772671568627451,0.741764705882353,0.7569027611044418,0.9670071038251365
100k,XGBoost,Full_Features,0.9692,0.9075187969924812,0.71,0.7966996699669967,0.977296287367406
100k,LightGBM,Full_Features,0.97095,0.9340574088440652,0.7082352941176471,0.8056206088992974,0.9786019607843138
100k,Stacked Ensemble (RF+XGB),Full_Features,0.96395,0.8193085453359426,0.7388235294117647,0.776987318280235,0.9743021536483446
100k,Attention-ResNet,Full_Features,0.9354,0.5941828254847645,0.7570588235294118,0.6658044490429385,0.9587166345226614
100k,Logistic Regression,No_HbA1c,0.819,0.2953091684434968,0.8147058823529412,0.433489827856025,0.907968450658952
100k,KNN,No_HbA1c,0.85665,0.3352160406664784,0.6982352941176471,0.45296699103224575,0.8574087753134041
100k,Decision Tree,No_HbA1c,0.90795,0.46552567237163817,0.56,0.508411214953271,0.7517426229508196
100k,Random Forest,No_HbA1c,0.91435,0.49668536460989293,0.5729411764705883,0.5320950559956296,0.9001765830922532
100k,XGBoost,No_HbA1c,0.93465,0.6435354273192111,0.518235294117647,0.5741283805799935,0.9272638540662166
100k,LightGBM,No_HbA1c,0.9404,0.7048387096774194,0.5141176470588236,0.5945578231292517,0.9328776920604308
100k,Stacked Ensemble (RF+XGB),No_HbA1c,0.9243,0.5521885521885522,0.5788235294117647,0.5651924181504883,0.9221567180970749
100k,Attention-ResNet,No_HbA1c,0.85435,0.3403527244011582,0.7605882352941177,0.4702673213311511,0.9024757955641273
